word,phonetic,translation,part_of_speech
nevertheless,,ad. 仍然；然而  conj. 然而，不过,ad
celebrate,,v. 赞扬，歌颂；庆祝,v
inspiring,,a. 鼓舞（或激励）人心的；启发灵感的,a
attendance,,n. 到场，出席；出勤；伺候，照料,n
optional,,a. 可选择的，非强制的，随意的,a
enable,,vt. 使能够，使成为可能,v
departmental,,a. 部门的,a
heal,,v. 治愈，康复；调停,v
dismantle,,vt. 拆除；废除，取消,v
wage,,n. 工资；[常 pl.] 报酬,n
landscape,,n. 风景  vt. 对……作景观美化，美化（自然环境等）,n
emotion,,n. 感情；情绪,n
commonwealth,,n. [the C-] 英联邦；联合体,n
newsletter,,n. 时事通讯，业务通讯,n
periodical,,n. 期刊，杂志  a. 周期的，定期的,n
receptionist,,n. 接待员,n
security,,n. 安全，保障；抵押品；[pl.]证券,n
clip,,n. （弹簧）夹子，回形针，别针；弹夹；修剪；剪报，电影（或电视）片断  v.（夹子、回形针等）夹住，扣住；剪，修剪,n
apace,,ad. 快速地，急速地,ad
yield,,n. 产量  v. 出产；放弃,n
fair,,a./ad. 公平的/地,a
regional,,a. 局部范围的；地方（性）的，区域性的；全地区的，整个地区的,a
secure,,v. 得到某物，获得；防护，保卫  a. 安全的；可靠的，放心的,v
preserve,,vt. 保护；维持；保存，保藏；腌渍,v
reject,,vt. 拒绝  /ˈriːdʒekt/ n. 被拒货品，不合格品,v
code,,n. 密码；代码  vt. 把……编码,n
seek,,v. 寻找；探索；追求,v
item,,n. 条款，项目； （新闻等）一则,n
crown,,n. 王冠；花冠；齿冠,n
effort,,n. 努力，艰难的尝试；成就,n
point,,n. 尖，尖端；点，小数点；条款，细目；分数，得分；要点，论点，观点  v. 指，指向；表明；瞄准,n
review,,vt. 回顾；自习；评论  n. 回顾；评论,v
fabrication,,n. 捏造，伪造；制作；构成,n
series,,n. 一系列，连续；丛书,n
variation,,n. 变化，变动；变种；变异；变更；变奏,n
margin,,n. 差额，差距；页边空白；边缘；余地；幅度  v. 加旁注于；加边于,n
distraction,,n. 分散注意力的事；使人分心的事；娱乐，消遣,n
complicate,,vt. 使变复杂,v
tram,,n. 有轨电车，电车轨道  v. 乘电车,n
maturity,,n. 成熟；完善，完备，准备就绪；到期（应付款）,n
download,,v. 下载,v
refer,,v. 参考，查阅，查询；提到，谈及；引用；提交，上呈,v
interview,,v./n. 接见，会见；采访；面试,v
extent,,n. 范围；面积；广度，长度；程度,n
evacuate,,v. 疏散；撤离,v
stint,,n. 定量；限额,n
embankment,,n. 筑堤；堤岸，路基,n
squash,,n. 软式墙网球，壁球  v. 压碎，挤压；挤进，塞入；镇住，镇压；制止,n
federation,,n. 联邦；同盟,n
surge,,v. （人群等）蜂拥而出；波动，涌动  n. （感情等的）洋溢；猛增,v
physical,,a. 身体的，肉体的；物理的，物理学的；物质的，有形的； n. 体检,a
justify,,v. 证明……为正当的；为……辩护,v
score,,v. 得分，记分；给（试卷等）打分，给……评分；刻痕于，画线于；获胜，成功  n. 得分，分数；乐谱；抓痕，划痕；二十,v
persuade,,v. 说服，劝说；使相信,v
migration,,n. 迁徙，移居，移民,n
overweight,,a. 超重的，过重的  n. 超重，过重  vt. 使负担过重,a
cooperation,,n. 合作，协作；配合,n
zoological,,a. 动物学的,a
stamp,,v. 跺（脚），重踏；在……上盖（字样或图案等）；重步走  n. 邮票，印花；印，图章；标志，印记；跺脚，顿足,v
whistle,,v. 吹口哨  n. 口哨；呼啸而过,v
detective,,n. 侦探  a. 侦探的,n
occupy,,vt. 占用，占领；（使）忙碌于；（使）从事,v
ceremony,,n. 典礼；仪式,n
diagnose,,v. 诊断；判断,v
denote,,v. 表示，指示；意味着,v
chink,,n. 裂缝，裂口；一缕光；叮当声  v. （使）发出叮当声,n
iris,,n. （pl. irises或irides）虹；（眼球的）虹膜,n
resource,,n. [pl.] 资源，财力；应付办法，谋略；应变之才,n
entire,,a. 全部的，整个的,a
epitomise,,vt. 集中体现；概括,v
crocodile,,n. 鳄鱼；鳄鱼皮,n
summit,,n. （山等的）最高点，峰顶,n
ensure,,vt. 确保，保证；担保；赋予,v
odour,,n. 气味,n
accurate,,a. 正确无误的；精确的,a
superior,,a. 上级的，（在职位、地位等方面）较高的；优越的，优于……的，较……多的；优良的，卓越的；有优越感的，高傲的  n. 上级，长官,a
tender,,a. 嫩的；脆弱的；温柔的,a
willing,,a. 愿意的，乐意的,a
perform,,v. 履行，执行，完成；表演，演出；（机器）运作,v
seep,,vi. 漏出，渗漏,v
ambassador,,n. 大使，使节,n
delinquency,,n. 失职；行为不良,n
deliberate,,a. 故意的；深思熟虑的；从容不迫的  /dɪˈlɪbəreɪt/ v. 深思熟虑；审议,a
implication,,n. 含意；暗示，暗指；卷入，牵连,n
broom,,n. 扫帚,n
opponent,,n. 敌手，对手；反对者  a. 对立的，对抗的,n
sponsor,,n. 发起者，赞助人，主办者；主顾   vt. 发起，主办；赞助，资助；惠顾,n
decisive,,a. 决定性的；果断的,a
substantial,,a. 可观的，大量的；坚固的，结实的；实质的；大体上的,a
questionnaire,,n. 问卷，调查表,n
viewpoint,,n. 观点，看法,n
routine,,n. 例行公事；惯例  a. 例行的；常规的,n
nurture,,vt. 培养；滋养  n. 营养品,v
slight,,a. 轻微的，不足道的；纤细的，瘦弱的  vt./n. 轻视，藐视，轻蔑,a
genetic,,a. 遗传的  n. [-s] 遗传学,a
similarly,,ad. 同样地，类似地,ad
leak,,n. 漏洞；泄露 v. （使）漏，（使）渗出,n
literature,,n. 文学（作品）；文献,n
suffer,,v. 遭受，忍受；忍耐；容许；患病；受损失,v
impede,,vt. 阻碍，妨碍,v
spring,,n. 春天，春季；弹簧，发条；弹性，弹力；（源）泉；跳跃  v. 跳跃；涌现，突然出现；突然提出（或说出）,n
biological,,a. 生物的；生物学的，有关生物学的,a
deduce,,v. 演绎，推断,v
doctorate,,n. 博士学位,n
absolute,,a. 完全的，绝对的，纯粹的,a
theoretical,,a. 理论（上）的,a
internship,,n. 实习身份；实习医师,n
slender,,a. 修长的，细长的，苗条的；微小的，微薄的,a
respondent,,n. 回答者，响应者；调查对象；被告,n
surroundings,,n. 周围的事物，环境,n
couple,,n. （一）对，（一）双；夫妇；  v. 连接，联合，结合；结婚,n
voluntary,,a. 自愿的，志愿的,a
submarine,,n. 潜水艇  a. 水底的，海底的,n
commercial,,a. 商业的，商品化的，贸易的  n. 商业广告,a
notion,,n. 概念，观念；想法,n
lavatory,,n. 盥洗室，厕所,n
tablet,,n. 药片,n
actual,,a. 实际的；真实的,a
fold,,v. 折叠  n. 皱；折,v
instrument,,n. 仪器；手段；工具；乐器,n
simplify,,vt. 使简化,v
compulsory,,a. 义务的；必须做的；强制性的；（课程）必修的,a
irritation,,n. 激怒，恼怒；刺激物，恼人的事,n
expense,,n. 花费，开支；消费，消耗；代价，损失,n
muddle,,n. 一团糟，凌乱，混乱；（头脑）糊涂，困惑  vt. 将……弄成一团糟；使困惑，使糊涂；混淆,n
originate,,v. 起源，发生；首创，创造,v
induce,,vt. 引诱，劝使；引起，导致；感应,v
exchange,,v. 交换，调换；交易；兑换；交流；谈话，争论  n. 交换，调换；交易（所）；兑换（率）；交流,v
disharmony,,n. 不一致；不和谐,n
cosset,,vt. 宠爱，溺爱 n. 宠儿,v
unique,,a. 唯一的，独一无二的；极不寻常的，极好的,a
crossword,,n. 纵横填字游戏,n
atomic,,a. 原子（能）的,a
disagree,,v. 不同意；不一致,v
check-up,,n. 检查,n
silt,,n. 淤泥  v. （用淤泥）阻塞,n
inclusive,,a. 包括一切费用在内的；所有数目（或首尾日期）包括在内的；包容广阔的,a
reservation,,n. 保留意见，存疑；预定，预订,n
transcript,,n. 抄本，副本；文字记录,n
include,,v. 包括，包含；计入,v
reasonable,,a. 合理的，有道理的；通情达理的；适度的,a
abode,,n. 房屋，家，住所,n
gadget,,n. 小巧的器械，精巧的装置；小玩意,n
emergency,,n. 紧急情况，突发事件,n
legacy,,n. 遗产，遗赠,n
leisure,,n. 空闲时间；悠闲,n
overlap,,v. （使）部分重叠，交叠,v
counterpart,,n. 与对方地位相当的人；配对物；副本,n
tune,,vt. 调音；调节，调整  n. 调子；和谐,v
strike,,v. 打；折磨  n. 罢工,v
ambiguous,,a. 含糊其辞的； 不明确的，模棱两可的,a
represent,,vt. 代表；表示；表现,v
vanish,,vi. 突然消失； 不复存在，消逝,v
mechanism,,n. 机械装置；机制，机理；办法,n
dispute,,n. 争论，争端，争吵  v. 对……表示异议；争论，争吵,n
furniture,,n. 家具,n
standard,,n. 标准  a. 标准的,n
typical,,a. 典型的,a
strengthen,,vt. 加强，巩固,v
workaholic,,n. 工作狂,n
unaware,,a. 未意识到的,a
erosion,,n. 腐蚀；磨损,n
exclusively,,ad. 专有地，专门地,ad
feather,,n. 羽毛，翎毛,n
pronounceable,,a. （指声音）发得出的；（指词）可发音的,a
bare,,a. 赤裸的，光秃的,a
luggage,,n. 行李,n
hose,,n. 软管  vt. 用软管淋,n
bulb,,n. 灯泡,n
internal,,a. 内部的，国内的,a
ion,,n. 离子,n
cruise,,v. 航游，巡航；（出租车、船等）缓慢巡行 n. 旅游，游戈,v
illusion,,n. 幻想中的事物，错误的观念；错觉，幻觉，假象,n
shave,,n./v. 修面,n
incredible,,a. 不可信的；难以置信的,a
vertebrate,,n. 脊柱动物  a. 有脊柱的,n
industrious,,a. 勤奋的，勤勉的，勤劳的,a
intestine,,n. [解]肠,n
outpost,,n. 前哨（站）；偏远村落,n
general,,a. 一般的，普通的；全体的，普遍的；大体的，概括的；首席的  n. 将军,a
bother,,v. 打扰，烦扰；烦恼，操心  n. 麻烦，烦扰,v
consignment,,n. 交付，委托；投递，发送；所托运的货物,n
administrator,,n. 管理者，管理人员；行政人员,n
convention,,n. 大会，会议；惯例，常规，习俗；公约，协定,n
organic,,a. 器官的；有机的；有机体的；组织的,a
trapeze,,n. 高空秋千；吊架,n
intersection,,n. 道路交叉口，十字路口,n
concept,,n. 概念，观念；设想,n
cardiovascular,,a. 心血管的,a
humble,,a. 谦逊的，谦虚的；地位（或身份）低下的，卑贱的；简陋的，低劣的  vt. 使谦恭；使卑下；贬低,a
lecture,,n. 演讲，讲课,n
counter,,n. 柜台  ad. 相反,n
brass,,n. 黄铜；黄铜器；铜管乐器,n
fauna,,n. （某地区或某时期的）所有动物,n
expel,,vt. 把……开除；驱逐,v
equator,,n. （地球）赤道,n
invest,,v. 投资；投入（时间、精力等）；授予，赋予,v
essay,,n. （作为课程作业的）短文、文章；评论文,n
dedicate,,vt. 献（身）；（在著作等上）题献词,v
astrology,,n. 占星学；占星术,n
attain,,vt. 达到；获得；完成,v
divisional,,a. 部门的,a
ambition,,n. 雄心，抱负；野心,n
range,,n. 范围，领域；系列；（山）脉；射程  v.（在一定范围内）变化，变动；排列,n
ultimate,,a. 最后的，最终的；根本的  n. 最好（或先进、伟大等）的事物，极品，精华,a
counsellor,,n. 顾问，辅导顾问,n
flap,,v. 拍打；（翅膀）拍动  n. 薄片；封盖；振动；激动,v
wastage,,n. 消耗量；损耗；（雇员的）减员,n
earthquake,,n. 地震,n
device,,n. 装置，设备，仪表；方法；设计；手段；策略,n
regulate,,v. 管制，控制；调节，校准；调整,v
mould,,n. 霉，霉菌；模型，铸模；（人的）性格，气质  v. 用模子制作，浇铸；使形成，把……塑造成,n
potential,,a. 潜在的；可能的  n. 潜力，潜能,a
discretion,,n. 判断力；谨慎，审慎；明智,n
ambitious,,a. 有抱负的，有雄心的，有野心的,a
brief,,a. 短时间的，短暂的；简短的，简洁的  n. 概要，摘要  vt. 向……介绍基本情况，为……提供资讯,a
dorm,,n. 宿舍,n
substitute,,v. 代替，替换  n. 代替者，代替物，代用品,v
striking,,a. 显著的，惹人注目的,a
pirate,,n. 侵犯版权者；海盗  vt. 盗用，盗版,n
refrigerator,,n. 冰箱；冷藏库,n
minimise,,vt. 使减到最低限度；最小化,v
imaginative,,a. 富有想象力的；创新的,a
profit,,n. 利润；益处  v. 有利于；获益,n
decrepit,,a. 破旧的；衰老的,a
ignorant,,a. 无知的；愚昧的,a
leopard,,n. 豹，美洲豹,n
mastery,,n. 精通，熟练；控制,n
forecast,,n./vt. 预报；预测；预想,n
precision,,n. 准确，精确；精确度,n
quote,,n. 引文，引语；估价，报价； [pl.] 引号  v. 引用，引述，引证；提出，提供；报价,n
comparative,,a. 比较的；相当的,a
recruit,,v. 招募（新兵），招收（新成员）；复原，恢复；补充  n. 新兵，新成员，新会员,v
gloss,,n. 光泽，色泽；虚假的外表，假象；注解，解释  v. 使具有光泽；掩饰；曲解；作注释；发光，发亮,n
committee,,n. 委员会，全体委员,n
exile,,vt. 放逐，流放，使流亡  n. 流放，流亡；被流放者，背井离乡者，流犯,v
representative,,n. 代表，代理人  a. 典型的，有代表性的,n
reverse,,n. 相反，颠倒；背面，后面  a. 相反的；倒转的，颠倒的  v. 颠倒，（使）倒退,n
finance,,vt. 为……提供资金  n. 财政，金融； [常pl.] 财务情况,v
resign,,v. 辞职；辞去；放弃,v
preparation,,n. 准备（工作），预备；制剂,n
eyesight,,n. 视力,n
thrive,,vi. 兴旺，繁荣,v
judgment,,n. 意见；审判；判断（力）,n
outward,,a. 外面的；外表的，表面的,a
consequently,,ad. 因此，因而,ad
entertain,,v. （使）欢乐，（使）娱乐；招待,v
withstand,,vt. 抵挡；经受住,v
anthropologist,,n. 人类学家,n
comb,,n. 梳子；蜂巢；（鸡等的）肉冠，冠状物  v. 梳理；搜寻，彻底搜查,n
suitably,,ad. 合适地，适宜地，相称地,ad
pulley,,n. 滑轮；滑车,n
privilege,,n. 特权，优惠，特许  vt. 给予特权，特别优待,n
infrastructure,,n. 基础结构，基础设施,n
allocate,,vt. 分配；分派,v
qualification,,n. 资格，合格；技能；限定，条件；合格证,n
expand,,v. （使）膨胀，（使）扩张；张开，展开；详述,v
trap,,n. 陷阱，圈套，诡计  vt. 诱捕，诱骗，使中圈套；使陷入困境，使受限制,n
intern,,vt. 拘禁，软禁   /ˈɪntɜːn/ n. 实习生,v
repaint,,v. 重新油漆，重画,v
specialist,,n. 专家；专科医生,n
migratory,,a. 迁徙的，迁居的；流动的，游牧的,a
nutrition,,n. 营养；营养学,n
inlet,,n. 入口；进（水）口，水湾,n
censor,,vt. 审查，检查（书报）  n. 检查员,v
widespread,,a. 分布广的；普遍的,a
hazard,,n. 危险，冒险  v. 尝试着做（或提出）；冒……风险,n
rear,,a. 后方的，后部的；背后的  n. 后部，尾部  v. 饲养，抚养；种植,a
shareholder,,n. 股票持有人；股东,n
bid,,n./v. 出价；投标,n
alight,,a. 点着的  vi. 降落，飞落；从（公共汽车等）下来,a
credit,,vt. 记入贷方；把……归于  n. 信用贷款，赊欠；信任，相信；贷方；荣誉，名望；光荣，功劳；学分,v
shrewd,,a. 机灵的；精明的,a
desert,,n. 沙漠；荒地  a. 沙漠的；荒凉的  /dɪˈzɜːt/ v. 舍弃,n
conclude,,v. 推断出；作结论,v
explosive,,n. 爆炸物，炸药  a. 爆炸的，爆发的；使人冲动的,n
inherent,,a. 内在的；生来就有的,a
world-wide,,a./ad. 遍及全球的/地,a
grope,,v. （暗中）摸索,v
lever,,vt. （用杠杆）撬动  n. 杠杆；施压手段,v
ethical,,a. （有关）道德的；伦理的,a
improvement,,n. 改进，进步；改进措施；改进处,n
vacant,,a. 未占用的，空的,a
truant,,vi. 逃避责任；旷课  n. 逃学者；逃避者,v
scandal,,n. 丑事，丑闻；恶意诽谤；流言飞语；反感，愤慨,n
latent,,a. 潜在的，潜伏的，不易察觉的,a
tenant,,n. 承租人；房客；佃户,n
psychiatric,,a. 精神病的；治疗精神病的,a
bolster,,vt. 支持，支撑；改善  n. 垫子,v
immigrant,,n. 移民；侨民,n
sequence,,n. 一系列，一连串；顺序，次序,n
ecosystem,,n. 生态系统,n
concern,,vt. 涉及；使关心；让（人）担忧  n. 关心；关注,v
transfer,,v. 搬，转移；调动，转学；转让，过户；转车，换乘  /ˈtrænsfɜː(r)/ n. 转移；调动；转车，换乘,v
exotic,,a. 外来的；奇异的；醒目的，吸引人的,a
evaporate,,v. （使）蒸发；消失；不复存在,v
destiny,,n. 命运，定数,n
hide,,v. （躲）藏  n. 皮革，兽皮,v
former,,a. 以前的  n. 前者,a
awful,,a. 糟糕的,a
sore,,a. 痛的；恼火的；剧烈的  n. 疮,a
virtually,,ad. 几乎，差不多；实际上，事实上,ad
tangibly,,ad. 可触摸地；可感知地；有形地,ad
windscreen,,n. 挡风玻璃；风档,n
decent,,a. 大方的，体面的，像样的；正派的，合乎礼仪的,a
alluvial,,a. [地] 冲积的，淤积的  n. 冲积土（或层、矿床），淤积土,a
slum,,n. 贫民窟，贫民区,n
distill,,vt. （使）蒸馏，提取,v
economical,,a. 节约的；经济的,a
fate,,n. 命运，天数,n
medication,,n. 药；药物,n
target,,n. 目标；对象，靶子  vt. 对准，面向,n
independent,,a. 独立的，自主的，不受约束的   n. 中立派，无党派议员,a
radius,,n. 半径；周围，范围,n
fossil,,n. 化石；老顽固,n
shade,,n. 阴凉处；（灯）罩；暗部；色度；细微差别  vt. 遮蔽，遮光；把……涂暗,n
headmaster,,n. （中小学）校长,n
wean,,vt. （使）断奶，（使）戒掉,v
comprise,,vt. 包含；由……组成,v
stable,,a. 稳定的，稳固的，安定的；沉稳的，持重的  n. 马厩,a
disappointing,,a. 令人失望的,a
delta,,n. 三角洲；希腊字母表的第四个字母,n
urban,,a. 都市的；住在都市的,a
compliment,,n. 赞美； [pl.] 问候，祝贺,n
execution,,n. 执行，实施；处决,n
heritage,,n. 遗产；传统,n
appropriate,,a. 适当的  /əˈprəuprɪeɪt/ vt. 占有，挪用；拨出（款项）,a
annual,,a. 每年的，年度的  n. 年刊，年鉴；一年生植物,a
depict,,vt. 描绘，描述,v
literacy,,n. 有文化；有教养；读写能力,n
calculate,,v. 计算，推算；估计，推测；计划，打算,v
luxury,,n. 豪华（品）；奢侈（品）  a. 奢华的,n
souvenir,,n. 纪念品，纪念物,n
purchase,,vt. 买，购买  n. 购买的物品,v
constant,,a. 经常的，不断的；坚定的，永恒的，忠实的；持续的，不变的  n. 常数，恒量,a
dormancy,,n. 休眠；催眠状态；冬眠；隐匿,n
particular,,a. 特殊的，特别的；特定的，个别的；详细的  n. 详情，细目，细节,a
subscription,,n. 订阅，订购；订阅费，订购款；捐赠，捐助；签字，签署,n
pitch,,v. 投掷；颠簸；为……定音高  n. 沥青；场地；程度；最高点；音高,v
entitle,,vt. 给……权利（或资格）；给（书、文章等）题名；给……以称号,v
shutter,,n. 百叶窗；（照相机的）快门,n
demolish,,vt. 破坏；拆除；驳倒（论点等），推翻,v
durable,,n. 耐用品  a. 耐久的；耐用的,n
cope,,vi. （成功地）应付；（妥善地）处理,v
circulation,,n. （体液的）循环，（水、空气等的）流通；流传，传播；发行，发行量,n
tradition,,n. 传统；惯例,n
benefit,,v. 使受益；有益于，得益于  n. 益处，好处；恩惠；救济金，保险金，津贴,v
decay,,n. 腐烂，腐朽；衰败（或衰退）状态  v. 腐烂，腐朽；衰败，衰退,n
distribution,,n. 分发，分配；配给物；散布，分布,n
defect,,n. 缺点，不足之处   /dɪˈfekt/ vi. 叛变,n
oppose,,v. 反对、反抗,v
statistics,,n. 统计数字，统计资料；统计学,n
stuffy,,a. 不透气的，（空气）不新鲜的，不通风的；乏味的,a
approximately,,ad. 近似，大约,ad
excusable,,a. 可原谅的；可谅解的；可容许的,a
propose,,v. 提议，建议；提名，推荐；打算；（向某人）求婚,v
ornament,,n. 装饰；装饰物  vt. 装饰，修饰，美化,n
energetic,,a. 有力的，精力旺盛的；积极的,a
atmospheric,,a. 大气的，空气的；大气层的；大气所引起的,a
cooperative,,a. 合作的，协作的  n. 合作社,a
corrode,,v. 腐蚀；侵蚀,v
honour,,n. 光荣；尊敬  vt. 向……示敬意；信守，执行（承诺）,n
except,,vt. 将……除外  prep. 除……外,v
soluble,,a. 可溶的；可解决的,a
administration,,n. 管理（部门）；行政（机关）,n
environment,,n. 周围状况；环境,n
license,,n. 许可（证），执照  vt. 批准，准许,n
underline,,vt. 画线于……之下；强调,v
activate,,vt. 激活；使活动，使活化,v
major,,a. 主要的   n. 专业（学生）  vi. 主修，专攻,a
specific,,a. 特定的；明确的,a
objective,,n. 目标，目的  a. 客观的,n
concentrate,,v. 全神贯注，全力以赴；集中，聚焦；浓缩  n. 浓缩物，浓缩液,v
conflict,,n. 冲突  /kənˈflikt/ vi. 冲突，抵触,n
antidote,,n. 解毒药；矫正方法,n
discover,,vt. 发现，找到；发觉,v
necessarily,,ad. 必要地；必然地,ad
continent,,n. 大陆，陆地；洲,n
turret,,n. 塔楼，角楼,n
elastic,,a. 有弹性的；灵活的  n. 松紧带,a
enhance,,vt. 提高，增强；增进,v
demonstration,,n. 论证，证明；示范；显示，表露；示威游行,n
interrupt,,v. 中断，中止；阻碍；打断，打扰,v
redundant,,a. （因人员过剩而）被解雇的；多余的，过剩的；累赘的，冗长的,a
mishandle,,vt. 粗暴地对待；错误地处理，胡乱操作,v
discovery,,n. 发现,n
alcohol,,n. 含酒精饮料，酒；酒精,n
suppression,,n. 镇压，压制，抑制；扑灭,n
mainly,,ad. 大体上，主要地,ad
property,,n. 财产，所有物；性质，特性；房产，地产,n
naked,,a. 裸体的，无遮蔽的,a
feature,,n. 特征，特色； [pl.] 面貌，相貌；特定，专题节目；故事片  v. 以……为特色；由……主演；占重要地位,n
lens,,n. 透镜；镜片；镜头,n
coordinator,,n. 协调者,n
nourish,,vt. 养育，滋养；培养（情绪、观点等）,v
crisp,,a. 脆的；利落的  n. [pl.] 油炸土豆片,a
guilty,,a. 内疚的；有罪的,a
crack,,n. 裂缝，缝隙；爆裂声  v. （使）破裂；（使）发出爆裂声；重击；崩溃，瓦解,n
flourish,,v. 繁荣；茂盛；兴旺；健康幸福  n. （为引起注意的）夸张动作；修饰,v
reserve,,vt. 预订，预约；保留；储备  n. 储备（量）；自然保护区,v
dimensional,,a. ……度空间的，……维的,a
gravel,,n. 沙砾，砾石,n
advertisement,,n. 广告，公告；广告活动，宣传,n
insulation,,n. 隔绝，隔绝状态；绝缘（材料），隔热，隔音,n
hesitation,,n. 犹豫，踌躇,n
undermine,,vt. 削弱；破坏,v
eliminate,,vt. 消灭，消除；淘汰,v
volcano,,n. 火山,n
exclude,,vt. 把……排斥在外；将（某物）排除，不包括,v
laundry,,n. 洗衣房；待洗衣服,n
apparently,,ad. 显然；看来，似乎,ad
gelatin,,n. 明胶,n
stimulate,,vt. 刺激；使兴奋；激发，激励,v
fuel,,n. 燃料  v. 给……加燃料,n
operational,,a. 运转的；操作的；运营的，业务的,a
image,,n. 形象；印象；图像,n
distribute,,vt. 分发，分配，分送；散布，分布；分类，分区,v
intend,,v. 想要，打算,v
empirical,,a. 经验主义的，以经验为依据的,a
probation,,n. 缓刑（制）；（对人的）试用；试用期,n
depression,,n. 忧愁，消沉；低气压，低压；不景气，萧条（期）,n
proximity,,n. 接近，邻近；亲近,n
attention,,n. 注意（力），留心；立正,n
factual,,a. 事实的；真实的，确凿的,a
acclaim,,vt. 向……欢呼，为……喝彩  n. 称赞；欢迎,v
carry,,v. 运送，搬运；传送，传播  n. 运载；射程,v
devastate,,vt. 破坏，毁坏；使震惊，使极为悲痛,v
response,,n. 回答，答复；反应，响应,n
postcode,,n. 邮政编码,n
dull,,a. 乏味的；阴沉的,a
basis,,n. 基础；根据；原则,n
tropical,,a. 热带的；炎热的,a
rumour,,n. 谣传，谣言,n
endeavour,,n./vi. 努力，尽力；尝试,n
address,,vt. 致函，写姓名地址；向……讲话，演说；处理，对付  n. 地址；致词,v
payment,,n. 支付；支付的款项,n
superb,,a. 极好的；高质量的,a
intention,,n. 意图，目的,n
demonstrate,,v. 认证，证实；演示，说明；举行示威游行（或集会）,v
agenda,,n. 议程；议程表,n
illuminate,,vt. 照亮；阐明，解释；启发,v
slim,,a. 苗条的；薄的  vi. 变苗条,a
warrant,,v. 保证；证明……正当  n. 授权；许可证,v
optimism,,n. 乐观，乐观主义,n
rank,,v. 排列；分等  n. 等级；军衔,v
dimension,,n. 尺寸，（长、宽、厚、深）度；方面、特点；维、元；  [pl.] 面积,n
avail,,vt. 有帮助，有益，有用  n. 效用；利益,v
dioxide,,n. 二氧化物,n
block,,n. 一排房屋，街区；阻塞；大块木料（或石料、金属） vt. 阻塞，拦阻；封锁,n
administrative,,a. 管理的，行政的,a
frustrating,,a. 令人泄气的，使人沮丧的,a
resistant,,a. 抵抗的，有抵抗力的,a
overdue,,a. 过期未付的；逾期的；过度的，过火的；迟到的，延误的,a
impressive,,a. 给人深刻印象的，令人敬佩的,a
analysis,,n. 分析，分解,n
verdict,,n. 裁定；定论；判断；意见,n
refresher,,n. 提神物；帮助记忆的东西或人；补习课程,n
blaze,,v. 熊熊燃烧；发（强）光；迸发  n. 火焰,v
misjudge,,vt. 判断错误,v
pregnant,,a. 怀孕的，妊娠的；充满的,a
unyielding,,a. 顽强的；坚硬的；不能弯曲的，坚固的,a
exterior,,a. 外部的，外表的  n. 外部，外表,a
approve,,v. 赞成；批准，同意,v
