word,phonetic,translation,part_of_speech
institute,,建立 n. 〔从事科研或教育等的〕机构；学院；研究院,v
dormitory,,宿舍,n
awful,,可怕的；骇人的,adj
emergency,,紧急情况,n
stress,,压力；重音,n
launch,,发动,v
suppose,,料想；以为；假定；期望,v
remove,,消除；移除,v
exposure,,暴露；揭露,n
promote,,促进；提升；推销,v
engage,,从事；吸引,v
uncertain,,不确定的,adj
accommodate,,为…提供住宿,v
slave,,奴隶,n
mature,,成熟的,adj
contrast,,对照物 v. 对比,n
clinic,,诊所,n
award,,授予；判给 n. 奖(金),v
worthwhile,,有价值的,adj
cruelty,,残暴；残酷,n
threaten,,威胁,v
chemical,,化学的 n. 化学制品,adj
consistent,,一致的,adj
renew,,〔中止后〕重新开始；继续,v
takeoff,,起飞,n
innocent,,无辜的；天真的,adj
currently,,当前；一般地,adv
dropout,,辍学者,n
replace,,代替,v
sightseeing,,观光,n
honor,,荣誉；崇敬；敬重；敬意,n
imitate,,模仿,v
installment,,分期付款,n
personality,,个性；性格,n
headquarter,,设立总部；在…设立总部,v
ingredient,,成分；原料,n
revenue,,收入,n
sensitive,,敏感的,adj
particular,,特别的；特指的；讲究的；挑剔的；吹毛求疵的,adj
tumor,,瘤,n
consequence,,结果；成果,n
explicitly,,直接地；明确地,adv
sway,,影响,v
technical,,技术的,adj
expert,,熟练的；内行的,adj
harm,,损害；危害；伤害 v. 伤害；损害〔某事物〕,n
imaginary,,虚构的；想象的,adj
contaminate,,污染；弄脏,v
soar,,猛增,v
solely,,单独地；唯一地,adv
tremendous,,巨大的,adj
civilization,,文明,n
tough,,困难的,adj
gift,,礼物；天赋,n
scale,,规模；比例,n
injure,,使受伤,v
embrace,,拥抱；欣然接受；乐意采纳 (新思想、意见、宗教等),v
seldom,,很少；罕见,adv
performance,,演出；履行；表现,n
violate,,违反,v
associate,,把……联系起来；交往,v
privacy,,隐私,n
choke,,使窒息,v
capable,,能干的；有能力的,adj
appeal,,呼吁 v. 吸引；呼吁；恳请；恳求,n
careless,,粗心的,adj
hit,,(唱片、电影或戏剧的) 成功；命中；击中,n
swallow,,咽下；吞下,v
consult,,咨询,v
preservation,,保存；保留,n
distance,,距离,n
plastic,,塑料的,adj
predict,,预言；预测；预告,v
submit,,提交,v
entertainment,,娱乐,n
critical,,批评的；爱挑剔的,adj
transaction,,交易；业务；事务,n
via,,通过,prep
insist,,主张；坚持,v
distract,,分心,v
subdivision,,分支; 分部,n
yield,,产生；得出〔结果、答案或资料 n. 产量,v
misunderstand,,误解,v
detail,,细节,n
immeasurable,,无法估量的,adj
convincing,,令人信服的,adj
donate,,捐赠,v
compare,,比较；对照,v
item,,〔尤指清单上、一群或一组事物中的〕一项；一件；一条,n
concrete,,具体的,adj
govern,,管理；支配,v
classify,,把…分类；把…分级,v
restrict,,限制；限定,v
establish,,建立；创办；设立,v
counseling,,咨询服务,n
majority,,多数,n
contact,,联系；接触 v. 〔写信、打电话〕联系〔某人〕,n
virtual,,虚拟的,adj
simplicity,,简单,n
enrollment,,入学人数,n
programming,,〔计算机的〕程序编写；程序设计；程序；〔电视或广播〕节目；电视[广播]节目策划；编排,n
device,,装置；设备,n
previous,,之前的,adj
alter,,改变,v
coach,,教练 v. 当…的教练；训练；培训,n
crisis,,危机,n
interconnect,,相互联系,v
enrich,,丰富；使富有,v
poll,,民意调查,n
consent,,允许；同意 n. 同意；赞同,v
utility,,公用事业〔如煤气、电力等〕,n
poisonous,,有毒的；有害的,adj
collision,,冲突；抵触,n
rank,,具有…等级[地位] n. 衔；阶层,v
fundamentally,,根本上,adv
inflation,,通货膨胀,n
secure,,确保……安全,v
interpret,,解释,v
criticize,,批评；评论,v
arrest,,逮捕,v
afford,,负担得起,v
implementation,,实现；履行,n
initiate,,开始；发起,v
enable,,使能够……,v
narrow,,狭窄的,adj
overcharge,,向……多收费,v
shortcut,,捷径；近路,n
leisure,,悠闲；空闲,n
original,,原始的；最初的,adj
density,,密度,n
sphere,,球体；范围,n
margin,,页边的空白；页边；白边,n
department,,部门,n
desire,,渴望；欲望,n
legend,,传奇,n
dictator,,独裁者；专制者,n
diversity,,多样性；差异,n
quit,,放弃,v
outgoing,,开朗的；外向的；外出的,adj
solution,,解决；解答；解决办法,n
revenge,,报仇,n
reverse,,相反情况；正相反 a. 相反的,n
enroll,,注册,v
logically,,合乎情理地；符合逻辑地,adv
rental,,租金,n
component,,成分,n
quotation,,引文,n
faith,,信任,n
invalid,,无效的,adj
invade,,侵入；侵略,v
separately,,分别地；另行,adv
strain,,扭伤；拉伤,v
accessible,,易接近的,adj
lap,,〔坐着时的〕大腿部,n
character,,角色,n
widespread,,普遍的；广泛的,adj
rearrange,,重新安排,v
hospitalize,,就医,v
avail,,有益；有帮助,v
instant,,立即的；紧急的；速溶的；方便的,adj
democratic,,民主的,adj
barely,,仅仅；几乎不,adv
vanish,,消失,v
caregiver,,照料者,n
harsh,,严酷的,adj
reliable,,可靠的；可信赖的,adj
massive,,(尺寸、数量、规模) 非常大的,adj
alcohol,,酒精,n
pregnant,,怀孕的,adj
adapt,,适应于,v
bogus,,假冒的,adj
slippery,,滑的；模糊的；不明确的,adj
current,,当前的,adj
overwhelm,,压倒；战胜,v
stressful,,充满著压力的；充满著紧张的,adj
toothache,,牙痛；牙疼,n
eliminate,,消除,v
terminal,,终点站；航空站,n
severe,,严重的,adj
immobile,,稳定的；不变的,adj
diplomatic,,外交的,adj
candidate,,申请求职者；投考者；候选人,n
fund,,基金；储备；提供资金,"n,v"
complacency,,自满；满足,n
delight,,高兴,n
inadequate,,不足的；不够的,adj
steady,,稳定的；逐步的,adj
accurate,,精确的；准确的,adj
identification,,身份证明；鉴定；识别；认同,n
previously,,事先,adv
identical,,相同的,adj
retirement,,退休,n
commit,,犯罪；承担义务,v
element,,要素；元素,n
assess,,评价,v
hire,,雇佣,v
represent,,代表,v
overestimate,,对（数量）估计过高,v
supervision,,监督,n
expose,,暴露,v
seemingly,,表面上看,adv
assignment,,作业,n
preference,,偏爱,n
energetic,,精力充沛的,adj
application,,申请；应用,n
moral,,精神上的；道德的,adj
dispute,,辩论；争论 v. 辩论；争论,n
influence,,影响 v. 影响,n
illegal,,非法的,adj
esteem,,自尊,n
abundant,,大量的；丰富的,adj
survey,,调查；审视；仔细考虑 n. 调查；勘测；测量；测绘,v
extensively,,广泛地,adv
deserve,,值得,v
crash,,坠落;坠毁;撞击 n. 〔汽车的〕撞车事故；〔飞机的〕坠毁；失事,v
affirm,,断言；声明,v
reputation,,名气；名声；名誉,n
degree,,程度,n
fade,,逐渐消失,v
competitor,,竞争者；对手,n
confuse,,使混淆；迷惑,v
task,,任务；工作,n
lessen,,减少,v
admit,,承认；容许,v
bow,,鞠躬,v
division,,除法；部门,n
literature,,文学；文学作品；文献；文献,n
consultant,,顾问,n
penalty,,惩罚,n
comment,,评论,n
major,,主要的 v. 主修,adj
option,,选择,n
socialize,,交往；联谊,v
bureau,,局,n
budget,,预算 v. 编预算,n
pop,,突然出现；跳出,v
position,,职位,n
unaffordable,,买不起的；负担不起的,adj
function,,功能 v. 运行,n
perceive,,察觉,v
reserve,,留出；预定,v
innovation,,改革；创新,n
alert,,提醒；使〔某人〕意识到 adj. 机警的,v
cautious,,谨慎的,adj
document,,文件,n
characterize,,以……特点,v
achieve,,完成；实现,v
address,,解决,v
inspiration,,灵感,n
agency,,机构,n
formulate,,规定；制定,v
fate,,命运,n
surf,,冲浪,v
steer,,驾驶,v
structure,,结构,n
architect,,建筑师,n
frame,,框架,n
amaze,,使吃惊,v
affirmation,,断言；肯定,n
intelligent,,有智慧的；聪明的；悟性强的,adj
code,,代码；密码,n
burden,,重担；负担,n
absorb,,吸收（液体、气体等）,v
instruction,,用法说明；操作指南；命令；指示,n
admission,,承认；准许进(加)入；入场费,n
additional,,额外的,adj
prejudice,,偏见 v. 使有偏见；使有成见,n
process,,过程；进程；工序；工艺流程 v. 处理,n
elegant,,优雅的,adj
hospitable,,热情友好的,adj
refreshing,,恢复活力的,adj
ensure,,确保,v
frighten,,使惊恐；使恐慌,v
civilized,,文明的,adj
approval,,批准；认可；赞成；同意,n
publicize,,宣布,v
resident,,居民,n
considerate,,体贴的；考虑周到的,adj
twist,,扭曲；使弯曲,v
citizen,,市民；城镇居民；公民,n
stake,,风险,n
keenly,,敏锐地,adv
superficial,,肤浅的,adj
flexibility,,灵活性；适应性,n
favorable,,赞同的,adj
competent,,胜任的；有能力的,adj
emotional,,情绪(上)的；情感(上)的；激起感情的；敏感的；情绪激动的〔尤指哭泣〕,adj
pioneer,,开拓；开发,v
sustain,,维持,n
gloomy,,阴沉的；沮丧的,adj
convince,,使相信,v
profitable,,有利可图的；有益的,adj
routinely,,例行公事地,adv
phenomenon,,现象,n
variety,,多样,n
gum,,牙龈,n
criticism,,批评,n
fatal,,致命的；攸关的,adj
delightful,,高兴的,adj
tedious,,单调沉闷的,adj
flexible,,灵活的,adj
considerably,,相当地；非常地,adv
efficiently,,有效地,adj
appearance,,外表；外观；出现,n
album,,粘贴簿；集邮簿；册,n
optimistic,,乐观的,adj
clue,,线索,n
grief,,悲伤,n
synthetic,,合成的；人造的,adj
resistance,,抵御；抵抗；抵抗力,n
install,,安装,v
pledge,,保证；誓言,n
unique,,独特的；唯一的,adj
stock,,股票；库存,n
disadvantage,,不利情况；缺点,n
compensate,,弥补；补偿,v
rescue,,营救；援救,v
monitor,,监控；监听,v
refusal,,拒绝,n
exile,,流放；放逐,n
encourage,,鼓励,v
concept,,观点；观念,n
render,,给予,v
trait,,性格,n
feature,,特点,n
reframe,,再构造(图画、照片等),v
identify,,认出；识别；视为,v
impose,,强加,v
snack,,零食；小吃,n
require,,要求；命令,v
donation,,捐赠,n
equal,,相等的；平等的,adj
rare,,罕有的；少见的,adj
specify,,指定；具体说明,v
constant,,不断的；持续的,adj
standardize,,使标准化,v
consume,,消费；消耗,v
status,,地位,n
complement,,补充,v
lengthy,,长的；漫长的,adj
embarrassed,,尴尬的；窘迫的,adj
rational,,神智清楚的,adj
distant,,遥远的,adj
homemaker,,主妇,n
exception,,例外,n
sustainable,,可持续的,adj
trigger,,引发；引起,v
intend,,打算,v
spread,,扩散；传播,v
estimate,,估计,v
technique,,技巧；手艺；技术；技能,n
include,,包含,v
academic,,学术的,adj
distinctive,,独特的；与众不同的,adj
consist,,由……组成,v
bid,,出价；投标 v. 出价；投标,n
benefit,,有益于；有助于,v
downsize,,裁员,v
avoid,,避免,v
gender,,性别,n
interracial,,种族间的,adj
complaint,,抱怨; 投诉,n
pattern,,模式,n
mood,,心情,n
sympathy,,同情心,n
discount,,折扣,n
value,,重视,v
altitude,,海拔；高度,n
groundsheet,,防潮布,n
evolutionary,,进化的；演变的,adj
implement,,实施；执行,v
dominant,,占优势的,adj
scope,,范围,n
suspect,,怀疑；猜想 n. 嫌疑犯,v
confrontation,,冲突；对抗,n
puzzle,,迷惑 n. 难解之事；谜,v
critic,,批评家；评论家,n
apartment,,公寓,n
analyze,,分析,v
maintain,,维持；主张,v
curb,,控制 n. 控制,v
version,,版本,n
rival,,对手,n
beneficial,,有利的；有益的,adj
substantial,,大量的,adj
recover,,恢复；重新获得；寻回,v
diploma,,文凭,n
carpenter,,木匠,n
circumstance,,环境；境遇,n
canteen,,食堂,n
advocator,,主张者；倡导者,n
disorderly,,杂乱的,adj
essentially,,本质上；根本上,adv
prevent,,预防,v
ceremony,,典礼；仪式,n
assume,,假定；认为,v
demand,,需求；要求 v. 要求,n
principle,,原则；原理,n
reception,,接待；反响,n
transfer,,转换；调换 n. 转换；调换,v
preventable,,可预防的,adj
anticipate,,预感,v
assumption,,假定；假设,n
prescription,,处方,n
evolution,,演变；进化,n
annoy,,使反感；厌烦,v
unintended,,意想不到的,adj
origin,,起源,n
qualify,,使……有资格,v
emergence,,出现；发生,n
complain,,抱怨,v
merit,,优点；成绩 v. 值得,n
forum,,论坛,n
arrange,,安排；筹划,v
determination,,意志,n
bargain,,便宜货；减价品,n
appetite,,欲望；胃口,n
neutral,,中立的,adj
primitive,,原始的；简单的；简单的；简陋的,adj
therapy,,疗法 治疗,n
conscience,,良心,n
define,,确定；下定义,v
creativity,,创造力,n
tailor,,调整使适应,v
dramatically,,戏剧性地；引人注目地,adv
panic,,惊恐,n
motivation,,激励；刺激,n
durable,,持久的；耐用的,adj
remedy,,药物,n
inevitable,,不可避免的,adj
diverse,,各种各样的,adj
context,,背景；环境,n
prominent,,杰出的；突出的；凸起的,adj
witness,,目击者；目击,n
save,,节省,v
inherit,,继承,v
occasion,,场合,n
initiative,,主动权；自主权,n
insight,,洞察力；洞悉,n
misguided,,被误导的,adj
sponsor,,赞助,v
porter,,搬运工,n
loyalty,,忠诚；忠实,n
overwhelming,,压倒性的,adj
appreciation,,感激,n
setting,,背景；环境,n
display,,展览 v. 展览,n
deliver,,发表,v
astonish,,使惊讶；使大为吃惊,v
adequate,,足够的,adj
consumption,,消费；消耗,n
abuse,,虐待；滥用,v
broad,,宽的,adj
inappropriate,,不合适的,adj
worldwide,,全世界范围地,adv
strict,,严格的,adj
means,,方法,n
reveal,,揭露；揭示,v
confirm,,证实,v
consensus,,一致意见,n
agent,,代理商,n
neighborhood,,地区,n
participate,,参与；参加,v
valid,,有效的,adj
initially,,最初；起初,adv
slightly,,轻微地,adv
objection,,反对,n
atmosphere,,气氛；大气；空气,n
assign,,布置；分配,v
evidence,,根据；证据；迹象,n
racially,,种族上地,adv
exclude,,排除；不包括,v
available,,可利用的；现有的；可获得的,adj
puzzling,,令人困惑的,adj
evaluation,,评价；评估,n
irritate,,激怒,v
distinguished,,显著的；杰出的,adj
depressing,,令人沮丧的,adj
mutually,,互相地,adv
mission,,使命；任务；代表团,n
migration,,迁移；移民,n
site,,场所；地址,n
expectation,,期望,n
update,,更新；使现代化,v
gear,,齿轮 v. 使合适,n
reproductive,,生殖的；再生的,adj
incredible,,不可思议的,adj
backward,,向后,adv
raise,,提高；筹款；抚养,v
prohibit,,禁止；阻止；防止,v
bother,,麻烦；打扰,v
pose,,摆姿势；装腔作势 n. 姿势,v
instrument,,仪器；器械；工具,n
mask,,掩饰,v
essential,,必须的；本质的,adj
harvest,,丰收；收获,n
reject,,拒绝；驳回,v
advancement,,进步；提升,n
skyrocket,,突升；猛涨,v
characteristic,,特点,n
implication,,含义；暗示,n
measure,,分量 v. 测量,n
replacement,,代替,n
easygoing,,脾气随和的；温和的,adj
squeeze,,压；榨,v
exhibition,,展览,n
responsibility,,责任,n
enhance,,提高；加强；增加,v
retain,,保留；留用,v
convey,,传达；传递,v
regulation,,管理；规则,n
integrity,,完整,n
combine,,联合；结合,v
impermanency,,非永久性,n
catalogue,,把……编入目录,v
council,,议会,n
prepare,,做准备,v
inquiry,,询问,n
tension,,紧张,n
prompt,,迅速的；立刻的；及时的 v. 促使；激励,adj
attendance,,出席人数,n
retail,,零售 v. 零售,n
image,,形象；声誉；印象,n
quantity,,量；数量,n
inspector,,检查员,n
endurance,,耐力,n
simplify,,简化,v
range,,范围 v. 在范围内变化,n
accomplish,,完成,v
treatment,,治疗；对待,n
spare,,空闲的,adj
welfare,,幸福；福利,n
boost,,推动 v. 促使；促进,n
consciousness,,意识,n
patiently,,耐心地,adv
decent,,正派的；体面的,adj
review,,回顾 v. 复习,n
considerable,,相当大(或多)的,adj
misguide,,误导,v
foundation,,地基；基础；基金会,n
postgraduate,,研究生,n
prevail,,流行；盛行,v
solid,,扎实的；坚实的,adj
counsel,,忠告；建议,v
maximum,,最大值；最大量 a. 最大值的；最大量的,n
abstract,,抽象的,adj
realistic,,现实的；实际的,adj
ban,,禁止,v
ashamed,,羞耻的；内疚的；惭愧的,adj
solve,,解决,v
reinforce,,加强；强化,v
applicant,,申请人,n
tuition,,学费,n
persistence,,坚持不懈,n
overcome,,战胜；克服,v
bride,,新娘,n
engagement,,婚约,n
household,,家庭；一家人,n
evaluate,,评价,v
saint,,圣人,n
delay,,推迟；延期,v
private,,私人的,adj
definition,,定义,n
influential,,有影响力的,adj
recommend,,推荐；劝告；使受欢迎,v
frontier,,边境,n
concern,,重要的事情 v. 与…有关；关于,n
organ,,器官,n
cite,,引用,v
mechanism,,机制；机能,n
contest,,比赛,n
symptom,,症状,n
deadline,,最后期限,n
domination,,主导,n
figure,,人物；数字,n
imply,,暗示；意味,v
curiosity,,好奇心,n
induce,,引诱,v
acknowledge,,承认(…的权威),v
gym,,体育馆；健身房,n
chef,,厨师,n
sensible,,明智的,adj
outline,,梗概；提纲；草稿；要点,n
react,,对……作出反应,v
committee,,委员会,n
civilian,,平民；百姓,n
domestic,,国内的,adj
complex,,复杂的,adj
locate,,位于；定位,v
tighten,,使变紧,v
physics,,物理；物理学,n
foothold,,立足处（攀登时脚踩的地方）,n
discharge,,释放；排出；批准离开; 命令离开,v
advanced,,高级的,adj
complicated,,复杂的；难懂的,adj
needy,,贫穷的,adj
stale,,乏味的；没有新意的,adj
casual,,漫不经心的；随便的；偶然的,adj
conform,,相一致；遵守,v
recharge,,再充电,v
annually,,每年；一年一次,adv
frown,,皱眉,v
decline,,下降；减少；拒绝,v
originate,,开始,v
prospect,,前景；前途,n
curious,,好奇的,adj
incentive,,动机；刺激,n
virus,,病毒,n
cultivate,,培养；养成,v
potential,,潜力 adj. 有可能的；潜在的,n
reluctant,,不愿意的；勉强的,adj
miserable,,痛苦的,adj
persuasion,,劝说,n
competitiveness,,竞争力,n
restriction,,限制；限定,n
minor,,小的,adj
grain,,谷物；粮食,n
rate,,比率；速率,n
radically,,完全地；彻底地,adv
distinct,,明显的；有区别的,adj
equality,,平等,n
hardworking,,苦干的；不辞辛劳的,adj
qualification,,资格(证明)；合格证书,n
bacteria,,细菌,n
corporate,,团体的；法人的,adj
undermine,,逐渐削弱; 逐渐动摇,v
selfish,,自私的,adj
cater,,迎合,v
survival,,幸存,n
favor,,偏好；较喜欢,v
conflict,,冲突,v
client,,客户,n
garage,,车库,n
fatigue,,疲劳；疲乏,n
plant,,工厂,n
endanger,,危及；危害；濒临危险,v
operation,,手术；行动,n
handle,,处理,v
laborious,,费力的,adj
passion,,热情；激情,n
cooperative,,合作的,adj
inflate,,(使)膨胀,v
resourceful,,机智的,adj
exaggerate,,夸张,v
loan,,贷款,n
vocabulary,,词汇,n
illustrate,,说明；阐明,v
overflow,,溢出；淹没,v
fantasize,,想象；幻想,v
amusing,,有趣的；好玩儿的,adj
universal,,宇宙的；全世界的；普遍的,adj
generate,,产生,v
schedule,,日程表,n
backslide,,倒退；退步,v
particle,,微粒,n
menu,,菜单,n
reward,,报答；奖赏 v. 报答；奖赏,n
reproduce,,复制,v
worsen,,（使）变得更坏,v
feedback,,反馈,n
equivalent,,相等的；相当的,adj
resign,,辞职,v
motivate,,促动；激发；诱导,v
compel,,强迫,v
revise,,修订,v
dampen,,抑制,v
prosperity,,繁荣,n
flow,,流动 v. 流动,n
humanity,,人类〔总称〕；人性,n
sideways,,向侧面,adv
pursue,,追求,v
innovate,,创新；革新,v
mill,,工厂,n
promotional,,促销的,adj
dump,,扔下；倾倒；倾销,v
resist,,抵抗；抗拒,v
source,,来源,n
legal,,法律的,adj
picky,,挑剔的,adj
steal,,偷窃,v
despite,,尽管,prep
explosion,,爆炸,n
gap,,缝隙；缺口；差距,n
relevant,,有关的；切题的,adj
ignore,,忽视；不顾,v
complete,,完成 adj. 完整的；彻底的,v
sufficient,,足够的,adj
switch,,转变；改变,v
request,,要求,n
stereotype,,老套；固定模式,n
couple,,夫妻；情侣,n
honesty,,诚实,n
transportation,,运输,n
physical,,身体上的,adj
screen,,筛查,v
divine,,神圣的,adj
guideline,,指导原则,n
revolution,,革命,n
interruption,,打扰；中断,n
dishwasher,,洗碗机,n
promising,,有希望的；有前途的,adj
vary,,不同；变化,v
permanent,,永久的,adj
manufacture,,制造；生产,v
fussy,,爱挑剔的,adj
dictate,,命令；规定 n. 命令；规定,v
professional,,专业的,adj
prosper,,繁荣,v
exchange,,交换；交流 v. 交换；交流,n
concentration,,集中,n
gesture,,手势；姿势,n
deliberate,,故意的,adj
contribution,,贡献；捐款,n
bless,,保佑；祝福,v
detective,,侦探,n
evident,,明显的,adj
retreat,,退避；后退；撤退,v
responsible,,负责的；有责任的,adj
identity,,身份,n
statistics,,统计学；数据,n
appreciate,,感激；欣赏,v
insult,,侮辱,v
neglect,,疏忽；忽视,v
primarily,,主要地；首先,adv
long,,渴望,v
incline,,倾向于,v
asset,,有价值的人(或物)资产,n
overtake,,超车,v
extension,,分机,n
engine,,引擎；发动机,n
emphasize,,强调,v
genuine,,真正的,adj
fascination,,魅力；入迷,n
lodge,,住宿；暂住,v
cheat,,欺骗；作弊,v
security,,安全；安保,n
painful,,痛苦的；疼痛的；令人不快的,adj
emerge,,出现,v
instance,,情况；例子,n
steep,,陡峭的；急剧升/降的,adj
rigorous,,严格的,adj
persuade,,说服,v
procedure,,程序,n
signature,,签名,n
surpass,,超过,v
campaign,,活动,n
advance,,提前 v. 前进,n
charity,,慈善机构,n
average,,平常的,adj
indispensable,,必不可少的,adj
irrationally,,不合理地；无理性地,adv
accompany,,陪伴,v
aviation,,航空,n
distress,,使痛苦；悲痛,v
invariably,,不变地；一直,adv
invest,,投资,v
approximately,,大约,adv
conservation,,保护；保存,n
ease,,轻松；舒适,n
extracurricular,,课外的,adj
undoubtedly,,无疑,adv
excellent,,卓越的；杰出的；极好的,adj
investigate,,调查,v
judgement,,判断；决定,n
struggle,,搏斗,v
prohibitively,,过分地；非常地,adv
military,,军队的；军事的,adj
consequently,,结果,adv
suffer,,受苦；遭受（痛苦）,v
visible,,看得见的,adj
swift,,迅速的,adj
battle,,战争；战役,n
liability,,责任,n
resistant,,抵抗的；抵制的,adj
nutritious,,营养的,adj
constantly,,不断地；时常地,adv
familiar,,熟悉的,adj
terribly,,可怕地；非常,adv
restore,,修复,v
refine,,改善；精炼,v
inspire,,激发；鼓舞；使产生灵感,v
comply,,遵从,v
justice,,公正,n
district,,区,n
installation,,安装；就职；就职仪式,n
marvelous,,引起惊异的,adj
provoke,,激起；挑起,v
lobby,,大堂 v. 游说,n
interview,,面谈（试）；会见；采访；面试,"n,v"
release,,释放；发布,v
explore,,探索,v
profound,,深厚的,adj
exploit,,开采,v
startup,,启动；开办,n
constructive,,建设的；建设性的,adj
unbearable,,无法忍受的,adj
laundry,,要洗的衣服；刚洗过的衣物；洗衣房,n
seize,,抓住,v
poison,,使中毒,v
bakery,,面包店,n
tent,,帐篷,n
wedding,,婚礼,n
fair,,集市,n
geographic,,地理的,adj
comprehensive,,综合的；全面的,adj
riot,,暴乱,n
conspicuous,,显著地,adj
block,,阻碍 n. 街区,v
acute,,敏锐的,adj
endure,,忍耐；容忍,v
assembly,,装配,n
opponent,,对手,n
confront,,面对,v
stir,,搅动；煽动；激起,v
rocket,,火箭 v. 猛增,n
attribute,,归因于,v
sentence,,判决 v. 判决,n
tempting,,诱人的；吸引人的,adj
commitment,,承诺；保证,n
feasible,,可行的；可能的；可用的,adj
outcome,,结果,n
diligent,,勤奋的,adj
deprive,,剥夺；夺去；使丧失,v
grid,,输电网,n
distribute,,分发,v
destruction,,破坏,n
divide,,分开,v
highlight,,突出；强调 n. 突出的部分,v
justify,,证明……正当,v
announce,,宣布；声称,v
proposal,,提议,n
advisory,,报告；警告,n
mystery,,迷；神秘的事物,n
punctual,,准时的,adj
derive,,得到；导出,v
harmony,,和谐,n
unwilling,,不愿意的,adj
view,,看待,v
financial,,财政的；经济的,adj
priority,,优先；优先权,n
impermanent,,非永久（性）的；不持久的；暂时的,adj
symbolize,,象征,v
bankrupt,,破产的；倒闭的,adj
intake,,摄入,n
addiction,,上瘾,n
productive,,富有成效的,adj
admire,,钦佩；称赞,v
reflect,,反映,v
underline,,强调,v
representative,,代表,n
blame,,指责；责怪,v
retrain,,再教育；再训练,v
tasteless,,无味的,adj
excessive,,过度的,adj
dishonest,,不诚实的,adj
caution,,小心；谨慎 v. 警告；告诫,n
glorious,,辉煌的,adj
